sz399001,深证成指,9786.398,9753.312,9852.196,9852.196,9733.967,0.000,0.000,26511713387,298277246772.189,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2019-09-19,15:00:03,00";
sz150152,创业板A,1.024,1.023,1.026,1.027,1.023,1.026,1.027,41604245,42627731.607,1033621,1.026,1448931,1.025,702000,1.024,713900,1.023,756400,1.022,2625450,1.027,1003200,1.028,293000,1.029,113000,1.030,56000,1.033,2019-09-19,15:00:03,00";
sz150153,创业板B,1.196,1.190,1.219,1.221,1.186,1.219,1.220,145696316,175032183.776,1110004,1.219,144000,1.218,301100,1.217,71900,1.216,183820,1.215,391764,1.220,567200,1.221,249900,1.222,282700,1.223,68400,1.224,2019-09-19,15:00:03,00";
sz159901,深100ETF,4.790,4.770,4.815,4.817,4.768,4.815,4.816,32356293,155118195.504,178800,4.815,8000,4.814,200,4.813,1000,4.812,9000,4.811,96500,4.816,19300,4.817,71300,4.818,102200,4.819,354200,4.820,2019-09-19,15:00:03,00";
sz159903,深成ETF,1.072,1.073,1.085,1.085,1.068,1.081,1.085,805629,867981.331,19900,1.081,4500,1.080,1000,1.078,5000,1.075,17000,1.074,17000,1.085,20000,1.087,11000,1.089,5100,1.090,2100,1.093,2019-09-19,15:00:03,00";
sz159912,深300ETF,1.293,1.296,1.311,1.311,1.293,1.307,1.311,44800,58399.400,20000,1.307,100,1.306,600,1.300,200,1.293,200,1.292,900,1.311,82700,1.312,400,1.313,28500,1.314,83000,1.315,2019-09-19,15:00:03,00";
sz159915,创业板,1.620,1.617,1.642,1.646,1.612,1.641,1.642,465841238,758063900.865,612900,1.641,823400,1.640,1623600,1.639,45000,1.638,227400,1.637,2407500,1.642,1061600,1.643,1698100,1.644,1979600,1.645,1622700,1.646,2019-09-19,15:00:03,00";
sz159919,300ETF,3.961,3.957,3.978,3.978,3.951,3.977,3.978,71486275,283537760.946,70400,3.977,17200,3.976,337800,3.975,29700,3.974,42000,3.973,138389,3.978,130500,3.979,2571000,3.980,6935,3.981,201000,3.982,2019-09-19,15:00:03,00";
sz159920,恒生ETF,1.497,1.492,1.474,1.498,1.472,1.473,1.474,761940295,1128147393.638,1892144,1.473,935300,1.472,831400,1.471,786700,1.470,296900,1.469,934500,1.474,2856500,1.475,2816960,1.476,1865600,1.477,1479140,1.478,2019-09-19,15:00:03,00";
sz159922,500ETF,5.402,5.402,5.454,5.454,5.388,5.454,5.455,11204914,60710698.146,4100,5.454,200,5.453,300,5.451,30400,5.450,30300,5.449,652400,5.455,500,5.456,56400,5.457,201600,5.458,60100,5.459,2019-09-19,15:00:03,00";
sz159923,100ETF,1.754,1.779,1.756,1.775,1.754,1.756,1.770,61400,108484.800,2700,1.756,11700,1.755,300,1.753,20100,1.752,1000,1.751,900,1.770,8700,1.771,2434,1.774,21900,1.778,1000,1.780,2019-09-19,15:00:03,00";
sz159926,国债ETF,112.980,112.981,113.249,113.249,112.980,103.200,113.041,243,27492.940,100,103.200,0,0.000,0,0.000,0,0.000,0,0.000,100,113.041,100,113.247,100,113.248,100,113.300,100,113.350,2019-09-19,15:00:03,00";
sz159928,消费ETF,3.001,3.004,3.005,3.005,2.964,3.001,3.005,8440665,25170843.770,11500,3.001,53000,3.000,27000,2.999,66335,2.998,30800,2.997,294600,3.005,12900,3.006,39300,3.007,12000,3.008,500,3.009,2019-09-19,15:00:03,00";
sz159929,医药ETF,1.521,1.518,1.527,1.529,1.515,1.526,1.527,2289700,3484677.700,5200,1.526,50900,1.524,3100,1.523,100,1.522,22600,1.520,12800,1.527,16100,1.530,14100,1.532,20000,1.534,4000,1.535,2019-09-19,15:00:03,00";
sz159930,能源ETF,0.718,0.715,0.714,0.718,0.711,0.714,0.716,1247600,890364.100,39200,0.714,23000,0.713,147600,0.712,164200,0.711,94600,0.710,4200,0.716,53900,0.717,30000,0.718,500,0.719,57000,0.720,2019-09-19,15:00:03,00";
sz159931,金融ETF,1.740,1.742,1.747,1.749,1.738,1.738,1.748,92200,160611.400,3800,1.738,14300,1.737,4000,1.733,1000,1.732,1800,1.728,13800,1.748,13900,1.749,1000,1.750,20000,1.754,6800,1.755,2019-09-19,15:00:03,00";
sz159932,500深ETF,1.402,1.413,1.422,1.423,1.402,1.411,1.425,72548,102555.280,6100,1.411,252,1.410,100,1.408,300,1.404,11000,1.400,2100,1.425,100,1.427,3100,1.450,1000,1.509,200,1.511,2019-09-19,15:00:03,00";
sz159933,金地ETF,2.083,2.082,2.099,2.099,2.081,2.084,2.099,17500,36445.500,6000,2.084,500,2.082,300,2.081,200,2.080,100,2.079,700,2.099,1900,2.109,600,2.110,5000,2.131,200,2.165,2019-09-19,15:00:03,00";
sz159934,黄金ETF,3.363,3.381,3.373,3.377,3.359,3.373,3.374,109124727,367616907.337,239400,3.373,166800,3.372,11800,3.371,87100,3.370,9700,3.369,130200,3.374,53700,3.375,153500,3.376,30700,3.377,14300,3.378,2019-09-19,15:00:03,00";
sz159941,纳指ETF,1.782,1.780,1.778,1.782,1.762,1.778,1.779,142400,252909.000,3900,1.778,5700,1.777,6000,1.776,8000,1.775,5000,1.774,27000,1.779,59200,1.780,20600,1.781,800,1.783,44200,1.789,2019-09-19,15:00:03,00";
sz159943,深证ETF,10.572,10.576,10.663,10.663,10.572,10.663,10.670,69627,737922.434,752,10.663,2000,10.635,200,10.578,872,10.572,300,10.519,100,10.670,152,10.701,2100,10.702,100,10.737,3000,10.800,2019-09-19,15:00:03,00";
sz159948,创业板EF,1.762,1.757,1.785,1.788,1.755,1.784,1.785,1530900,2713433.500,150000,1.784,150000,1.783,100,1.777,3000,1.772,6700,1.767,153500,1.785,160000,1.787,160000,1.788,4000,1.790,800,1.793,2019-09-19,15:00:03,00";
sz159949,创业板50,0.595,0.593,0.602,0.604,0.594,0.602,0.603,400587408,239698366.064,1798225,0.602,6656100,0.601,2135100,0.600,502200,0.599,1811200,0.598,11276323,0.603,2250700,0.604,4553600,0.605,2722400,0.606,1468800,0.607,2019-09-19,15:00:03,00";
sz159952,创业ETF,0.976,0.973,0.988,0.990,0.971,0.987,0.988,39040652,38310389.149,67600,0.987,691500,0.986,315900,0.985,31000,0.983,10200,0.982,531800,0.988,126500,0.989,116600,0.990,174000,0.991,445800,0.992,2019-09-19,15:00:03,00";
sz159953,工业ETF,0.742,0.750,0.757,0.757,0.742,0.745,0.757,27700,20706.800,6000,0.745,2000,0.744,100,0.741,600,0.738,100,0.737,3800,0.757,9000,0.758,2300,0.762,100,0.800,0,0.000,2019-09-19,15:00:03,00";
sz159954,H股ETF,0.997,0.998,0.990,0.997,0.989,0.989,0.990,2056814,2040881.802,239900,0.989,244100,0.988,235900,0.987,469200,0.986,541900,0.985,62000,0.990,345300,0.991,258600,0.992,236500,0.993,30700,0.997,2019-09-19,15:00:03,00";
sz159955,创业板E,0.907,0.904,0.919,0.919,0.903,0.912,0.919,999500,908846.200,5000,0.912,16300,0.909,4000,0.908,100,0.907,300,0.885,370100,0.919,242000,0.920,200,0.923,4000,0.924,10000,0.926,2019-09-19,15:00:03,00";
sz159956,创业板F,0.961,0.950,0.967,0.967,0.961,0.906,0.969,25200,24282.000,20300,0.906,600,0.905,280000,0.892,500,0.888,0,0.000,20000,0.969,16000,0.970,10000,0.971,10400,0.972,10000,0.973,2019-09-19,15:00:03,00";
sz159957,创业板HX,1.000,0.997,1.006,1.016,0.995,1.006,1.013,918301,917716.095,10000,1.006,5000,1.005,30000,1.003,12000,0.999,100,0.991,5800,1.013,35600,1.014,30000,1.015,119800,1.016,130079,1.030,2019-09-19,15:00:03,00";
sz159958,创业板ET,0.977,0.977,0.993,0.993,0.976,0.991,0.993,2243012,2205172.396,300000,0.991,281600,0.990,300000,0.989,5500,0.987,200,0.986,285000,0.993,305000,0.994,330000,0.995,18000,0.998,51600,0.999,2019-09-19,15:00:03,00";
sz159959,央企ETF,1.072,1.062,1.070,1.072,1.057,1.068,1.070,7788203,8287647.580,256000,1.068,173600,1.067,100000,1.066,759200,1.065,500000,1.064,340600,1.070,500,1.071,25000,1.072,100,1.079,50000,1.081,2019-09-19,15:00:03,00";
